trace,frames,algorithm,total_frames,events,disk_reads,disk_writes,page_fault_rate,page_faults
trace/sixpack.trace,2723,lru,2723,1000000,3909,806,0.0039,3900
trace/sixpack.trace,2723,clock,2723,1000000,3943,778,0.0039,3900
trace/sixpack.trace,2723,rand,2723,1000000,4169,1446,0.0042,4200
trace/sixpack.trace,2918,lru,2918,1000000,3902,627,0.0039,3900
trace/sixpack.trace,2918,clock,2918,1000000,3926,661,0.0039,3900
trace/sixpack.trace,2918,rand,2918,1000000,4109,1191,0.0041,4100
trace/sixpack.trace,3112,lru,3112,1000000,3897,520,0.0039,3900
trace/sixpack.trace,3112,clock,3112,1000000,3915,600,0.0039,3900
trace/sixpack.trace,3112,rand,3112,1000000,4031,919,0.004,4000
trace/sixpack.trace,3306,lru,3306,1000000,3894,467,0.0039,3900
trace/sixpack.trace,3306,clock,3306,1000000,3903,495,0.0039,3900
trace/sixpack.trace,3306,rand,3306,1000000,3984,678,0.004,4000
trace/sixpack.trace,3501,lru,3501,1000000,3891,343,0.0039,3900
trace/sixpack.trace,3501,clock,3501,1000000,3901,337,0.0039,3900
trace/sixpack.trace,3501,rand,3501,1000000,3942,441,0.0039,3900
trace/sixpack.trace,3696,lru,3696,1000000,3891,148,0.0039,3900
trace/sixpack.trace,3696,clock,3696,1000000,3893,135,0.0039,3900
trace/sixpack.trace,3696,rand,3696,1000000,3908,212,0.0039,3900
trace/sixpack.trace,3890,lru,3890,1000000,3890,0,0.0039,3900
trace/sixpack.trace,3890,clock,3890,1000000,3890,0,0.0039,3900
trace/sixpack.trace,3890,rand,3890,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4084,lru,4084,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4084,clock,4084,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4084,rand,4084,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4279,lru,4279,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4279,clock,4279,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4279,rand,4279,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4474,lru,4474,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4474,clock,4474,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4474,rand,4474,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4668,lru,4668,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4668,clock,4668,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4668,rand,4668,1000000,3890,0,0.0039,3900
